year,month,url
2015,11,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2015/vra_do_mes_2015_11.zip
2015,12,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2015/vra_do_mes_2015_12.zip
2014,1,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2014/vra_do_mes_2014_01.zip
2014,2,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2014/vra_do_mes_2014_02.zip
2014,3,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2014/vra_do_mes_2014_03.zip
2014,4,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2014/vra_do_mes_2014_04.zip
2014,5,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2014/2014_05.zip
2014,6,https://www.anac.gov.br/assuntos/dados-e-estatisticas/percentuais-de-atrasos-e-cancelamentos-2/2014/base_062014.csv
2014,7,https://www.anac.gov.br/assuntos/dados-e-estatisticas/percentuais-de-atrasos-e-cancelamentos-2/2014/base_072014.csv
2014,8,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2014/vra08_2014.zip
2014,9,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2014/vra09_2014.zip
2014,10,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2014/vra_do_mes_2014_10.zip
2014,11,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2014/vra_do_mes_2014_11.zip
2014,12,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2014/vra_do_mes_2014_12.zip
2013,1,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2013/vra_do_mes_2013_01.zip
2013,2,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2013/vra_do_mes_2013_02.zip
2013,3,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2013/vra_do_mes_2013_03.zip
2013,4,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2013/vra_do_mes_2013_04.zip
2013,5,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2013/vra_do_mes_2013_05.zip
2013,6,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2013/vra_do_mes_2013_06.zip
2013,7,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2013/vra_do_mes_2013_07.zip
2013,8,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2013/vra_do_mes_2013_08.zip
2013,9,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2013/vra_do_mes_2013_09.zip
2013,10,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2013/vra_do_mes_2013_10.zip
2013,11,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2013/vra_do_mes_2013_11.csv
2013,12,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2013/vra_do_mes_2013_12.zip
2012,1,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2012/vra_do_mes_2012_01.zip
2012,2,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2012/vra_do_mes_2012_02.zip
2012,3,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2012/vra_do_mes_2012_03.zip
2012,4,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2012/vra_do_mes_2012_04.zip
2012,5,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2012/vra_do_mes_2012_05.zip
2012,6,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2012/vra_do_mes_2012_06.zip
2012,7,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2012/vra_do_mes_2012_07.zip
2012,8,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2012/vra_do_mes_2012_08.zip
2012,9,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2012/vra_do_mes_2012_09.zip
2012,10,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2012/vra_do_mes_2012_10.zip
2012,11,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2012/vra_do_mes_2012_11.zip
2012,12,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2012/vra_do_mes_2012_12.zip
2011,1,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2011/vra_do_mes_2011_01.zip
2011,2,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2011/vra_do_mes_2011_02.zip
2011,3,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2011/vra_do_mes_2011_03.zip
2011,4,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2011/vra_do_mes_2011_04.zip
2011,5,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2011/vra_do_mes_2011_05.zip
2011,6,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2011/vra_do_mes_2011_06.zip
2011,7,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2011/vra_do_mes_2011_07.zip
2011,8,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2011/vra_do_mes_2011_08.zip
2011,9,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2011/vra_do_mes_2011_09.zip
2011,10,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2011/vra_do_mes_2011_10.zip
2011,11,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2011/vra_do_mes_2011_11.zip
2011,12,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2011/vra_do_mes_2011_12.zip
2010,1,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2010/vra_do_mes_2010_01.zip
2010,2,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2010/vra_do_mes_2010_02.zip
2010,3,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2010/vra_do_mes_2010_03.zip
2010,4,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2010/vra_do_mes_2010_04.zip
2010,5,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2010/vra_do_mes_2010_05.zip
2010,6,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2010/vra_do_mes_2010_06.zip
2010,7,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2010/vra_do_mes_2010_07.zip
2010,8,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2010/vra_do_mes_2010_08.zip
2010,9,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2010/vra_do_mes_2010_09.zip
2010,10,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2010/vra_do_mes_2010_10.zip
2010,11,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2010/vra_do_mes_2010_11.zip
2010,12,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2010/vra_do_mes_2010_12.zip
2009,1,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2009/vra_do_mes_2009_01.zip
2009,2,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2009/vra_do_mes_2009_02.zip
2009,3,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2009/vra_do_mes_2009_03.zip
2009,4,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2009/vra_do_mes_2009_04.zip
2009,5,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2009/vra_do_mes_2009_05.zip
2009,6,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2009/vra_do_mes_2009_06.zip
2009,7,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2009/vra_do_mes_2009_07.zip
2009,8,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2009/vra_do_mes_2009_08.zip
2009,9,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2009/vra_do_mes_2009_09.zip
2009,10,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2009/vra_do_mes_2009_10.zip
2009,11,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2009/vra_do_mes_2009_11.zip
2009,12,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2009/vra_do_mes_2009_12.zip
2008,1,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2008/vra_do_mes_2008_01.zip
2008,2,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2008/vra_do_mes_2008_02.zip
2008,3,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2008/vra_do_mes_2008_03.zip
2008,4,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2008/vra_do_mes_2008_04.zip
2008,5,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2008/vra_do_mes_2008_05.zip
2008,6,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2008/vra_do_mes_2008_06.zip
2008,7,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2008/vra_do_mes_2008_07.zip
2008,8,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2008/vra_do_mes_2008_08.zip
2008,9,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2008/vra_do_mes_2008_09.zip
2008,10,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2008/vra_do_mes_2008_10.zip
2008,11,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2008/vra_do_mes_2008_11.zip
2008,12,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2008/vra_do_mes_2008_12.zip
2007,1,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2007/vra_do_mes_2007_01.zip
2007,2,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2007/vra_do_mes_2007_02.zip
2007,3,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2007/vra_do_mes_2007_03.zip
2007,4,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2007/vra_do_mes_2007_04.zip
2007,5,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2007/vra_do_mes_2007_05.zip
2007,6,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2007/vra_do_mes_2007_06.zip
2007,7,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2007/vra_do_mes_2007_07.zip
2007,8,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2007/vra_do_mes_2007_08.zip
2007,9,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2007/vra_do_mes_2007_09.zip
2007,10,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2007/vra_do_mes_2007_10.zip
2007,11,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2007/vra_do_mes_2007_11.zip
2007,12,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2007/vra_do_mes_2007_12.zip
2006,1,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2006/vra_do_mes_2006_01.zip
2006,2,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2006/vra_do_mes_2006_02.zip
2006,3,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2006/vra_do_mes_2006_03.zip
2006,4,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2006/vra_do_mes_2006_04.zip
2006,5,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2006/vra_do_mes_2006_05.zip
2006,6,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2006/vra_do_mes_2006_06.zip
2006,7,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2006/vra_do_mes_2006_07.zip
2006,8,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2006/vra_do_mes_2006_08.zip
2006,9,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2006/vra_do_mes_2006_09.zip
2006,10,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2006/vra_do_mes_2006_10.zip
2006,11,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2006/vra_do_mes_2006_11.zip
2006,12,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2006/vra_do_mes_2006_12.zip
2005,1,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2005/vra_do_mes_2005_01.zip
2005,2,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2005/vra_do_mes_2005_02.zip
2005,3,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2005/vra_do_mes_2005_03.zip
2005,4,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2005/vra_do_mes_2005_04.zip
2005,5,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2005/vra_do_mes_2005_05.zip
2005,6,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2005/vra_do_mes_2005_06.zip
2005,7,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2005/vra_do_mes_2005_07.zip
2005,8,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2005/vra_do_mes_2005_08.zip
2005,9,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2005/vra_do_mes_2005_09.zip
2005,10,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2005/vra_do_mes_2005_10.zip
2005,11,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2005/vra_do_mes_2005_11.zip
2005,12,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2005/vra_do_mes_2005_12.zip
2004,1,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2004/vra_do_mes_2004_01.zip
2004,2,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2004/vra_do_mes_2004_02.zip
2004,3,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2004/vra_do_mes_2004_03.zip
2004,4,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2004/vra_do_mes_2004_04.zip
2004,5,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2004/vra_do_mes_2004_05.zip
2004,6,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2004/vra_do_mes_2004_06.zip
2004,7,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2000/vra_do_mes_2000_01.zip
2004,8,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2004/vra_do_mes_2004_07.zip
2004,9,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2004/vra_do_mes_2004_08.zip
2004,9,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2004/vra_do_mes_2004_09.zip
2004,10,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2004/vra_do_mes_2004_10.zip
2004,11,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2004/vra_do_mes_2004_11.zip
2004,12,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2004/vra_do_mes_2004_12.zip
2003,1,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2003/vra_do_mes_2003_01.zip
2003,2,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2003/vra_do_mes_2003_02.zip
2003,3,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2003/vra_do_mes_2003_03.zip
2003,4,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2003/vra_do_mes_2003_04.zip
2003,5,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2003/vra_do_mes_2003_05.zip
2003,6,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2003/vra_do_mes_2003_06.zip
